iter 3320: loss 2.4481, time 916.38ms, mfu 1.06%
iter 3330: loss 2.4585, time 928.76ms, mfu 1.06%
iter 3340: loss 2.4498, time 918.14ms, mfu 1.06%
iter 3350: loss 2.4416, time 921.48ms, mfu 1.06%
iter 3360: loss 2.3397, time 940.05ms, mfu 1.06%
iter 3370: loss 2.3439, time 937.10ms, mfu 1.06%
iter 3380: loss 2.3688, time 937.80ms, mfu 1.05%
iter 3390: loss 2.3395, time 939.01ms, mfu 1.05%
iter 3400: loss 2.3916, time 935.02ms, mfu 1.05%
iter 3410: loss 2.4086, time 900.74ms, mfu 1.06%
iter 3420: loss 2.4358, time 932.59ms, mfu 1.06%
iter 3430: loss 2.3704, time 935.91ms, mfu 1.05%
iter 3440: loss 2.4062, time 920.67ms, mfu 1.06%
iter 3450: loss 2.3769, time 921.91ms, mfu 1.06%
iter 3460: loss 2.4029, time 915.74ms, mfu 1.06%
iter 3470: loss 2.4133, time 916.91ms, mfu 1.06%
iter 3480: loss 2.3564, time 916.96ms, mfu 1.06%
iter 3490: loss 2.2630, time 923.30ms, mfu 1.06%
step 3500: train loss 1.9954, val loss 5.0351
iter 3500: loss 2.3690, time 115439.51ms, mfu 0.96%
iter 3510: loss 2.3588, time 921.69ms, mfu 0.97%
iter 3520: loss 2.3986, time 922.53ms, mfu 0.98%
iter 3530: loss 2.3445, time 932.23ms, mfu 0.98%
iter 3540: loss 2.2977, time 920.11ms, mfu 0.99%
iter 3550: loss 2.3626, time 923.53ms, mfu 1.00%
iter 3560: loss 2.3346, time 929.84ms, mfu 1.00%
iter 3570: loss 2.3125, time 926.36ms, mfu 1.01%
iter 3580: loss 2.3589, time 921.09ms, mfu 1.02%
iter 3590: loss 2.3175, time 919.57ms, mfu 1.02%
iter 3600: loss 2.3245, time 919.88ms, mfu 1.02%
iter 3610: loss 2.3395, time 921.78ms, mfu 1.03%
iter 3620: loss 2.4097, time 917.54ms, mfu 1.03%
iter 3630: loss 2.3016, time 919.20ms, mfu 1.04%
iter 3640: loss 2.3918, time 918.79ms, mfu 1.04%
iter 3650: loss 2.3035, time 917.51ms, mfu 1.04%
iter 3660: loss 2.3917, time 913.08ms, mfu 1.05%
iter 3670: loss 2.4182, time 915.70ms, mfu 1.05%
iter 3680: loss 2.3854, time 917.54ms, mfu 1.05%
iter 3690: loss 2.2840, time 921.44ms, mfu 1.05%
iter 3700: loss 2.3790, time 916.09ms, mfu 1.05%
iter 3710: loss 2.4141, time 916.53ms, mfu 1.05%
iter 3720: loss 2.3082, time 916.27ms, mfu 1.06%
iter 3730: loss 2.3829, time 919.20ms, mfu 1.06%
iter 3740: loss 2.3744, time 913.05ms, mfu 1.06%
iter 3750: loss 2.3726, time 916.91ms, mfu 1.06%
iter 3760: loss 2.4254, time 914.64ms, mfu 1.06%
iter 3770: loss 2.3525, time 916.56ms, mfu 1.06%
iter 3780: loss 2.3324, time 915.91ms, mfu 1.06%
iter 3790: loss 2.3536, time 916.40ms, mfu 1.06%
iter 3800: loss 2.3644, time 915.79ms, mfu 1.06%
iter 3810: loss 2.3613, time 919.46ms, mfu 1.06%
iter 3820: loss 2.3482, time 915.48ms, mfu 1.07%
iter 3830: loss 2.2796, time 917.90ms, mfu 1.07%
iter 3840: loss 2.3069, time 920.07ms, mfu 1.07%
iter 3850: loss 2.2984, time 915.35ms, mfu 1.07%
iter 3860: loss 2.3154, time 915.97ms, mfu 1.07%
iter 3870: loss 2.2864, time 919.94ms, mfu 1.07%
iter 3880: loss 2.2855, time 914.62ms, mfu 1.07%
iter 3890: loss 2.3236, time 914.21ms, mfu 1.07%
iter 3900: loss 2.2827, time 917.07ms, mfu 1.07%
iter 3910: loss 2.3635, time 916.81ms, mfu 1.07%
iter 3920: loss 2.2987, time 913.39ms, mfu 1.07%
iter 3930: loss 2.2564, time 917.55ms, mfu 1.07%
iter 3940: loss 2.3578, time 914.47ms, mfu 1.07%
iter 3950: loss 2.4363, time 916.89ms, mfu 1.07%
iter 3960: loss 2.3498, time 914.80ms, mfu 1.07%
iter 3970: loss 2.3581, time 915.41ms, mfu 1.07%
iter 3980: loss 2.2827, time 914.98ms, mfu 1.07%
iter 3990: loss 2.3182, time 916.61ms, mfu 1.07%
step 4000: train loss 1.9391, val loss 5.0618
iter 4000: loss 2.2871, time 114799.18ms, mfu 0.96%
